Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-13.5666666667,117.2,2,3,1
-12.9666666667,118.5,0,5,0
-13.55,117.65,0,9,0
-13.8666666667,117.7666666667,0,9,4
-13.3,117.5166666667,1,10,2
-13.2333333333,117.6833333333,0,7,0
-12.95,117.2833333333,2,4,0
-12.5,117.75,1,1,1
-11.8833333333,111,0,2,0
-11.0666666667,110.3666666667,0,15,0
-11.2166666667,110.3,1,5,0
-11.4833333333,110.9833333333,3,1,0
-10.5166666667,124.2833333333,3,0,0
-10.1166666667,124.9,3,15,0
-10.1166666667,124.9666666667,6,4,0
-10.4333333333,122.9166666667,2,0,0
-10.5833333333,123.8333333333,2,0,0
-11.5666666667,121,0,3,0
-12.3333333333,119.1,4,4,0
-12.2166666667,119.7333333333,1,11,0
-12.6,120.05,11,7,0
-11.4166666667,118.9166666667,1,2,0
-12.4166666667,120.25,3,11,0
-13.65,116.9166666667,0,5,0
-12.5,120.25,1,6,0
-12.5833333333,120.4166666667,1,11,0
-14.35,115.7166666667,0,0,0
-12.3333333333,120,3,10,2
-14.5166666667,115.5333333333,0,6,2
-14.2666666667,114.4666666667,1,4,18
-12,115.2666666667,2,2,7
-12,115.4166666667,3,1,21
-11.7666666667,115.75,9,2,33
-11.5666666667,116.0333333333,2,2,8
-12.8,116.05,5,1,65
-12.8833333333,116.2666666667,3,2,31
-13.05,116.4333333333,4,2,25
-11.6333333333,116.6,5,1,25
-12.3833333333,116.6833333333,3,1,2
-13.0166666667,117.8333333333,4,9,20
-12.2166666667,117.8666666667,5,0,51
-12.3833333333,117.6666666667,2,2,8
-13.05,116.4833333333,2,5,20
-13.0833333333,116.5,1,4,8
-12.1166666667,117.15,1,5,0
-12.1666666667,117.6666666667,1,9,0
-12.1333333333,117.7166666667,1,31,0
-12.1833333333,117.7,1,9,0
-12.0333333333,117.65,1,7,0
-12.0333333333,117.7,1,9,0
-11.6166666667,117.1166666667,0,2,0
-13.3,113.1666666667,0,2,0
-13.75,113.6166666667,2,6,0
-13.3333333333,117.6333333333,1,2,0
-14.0333333333,114.45,1,2,10
-14.5666666667,114.0833333333,1,2,10
-14.7833333333,114.5,0,8,4
-14.4166666667,114.3666666667,3,2,6
-12.2833333333,115.75,0,11,0
-12.25,115.85,1,2,0
-13.1666666667,116.05,1,1,0
-13.2,115.9666666667,0,4,0
-12.9333333333,116.6833333333,2,11,0
-12.5833333333,117.0166666667,0,6,0
-12.05,116.8166666667,1,3,0
-12.4333333333,117.3,0,8,0
-11.6666666667,116.6666666667,0,2,0
-14.2166666667,114.55,3,16,1
-14.3666666667,114.3666666667,3,4,0
-13.3833333333,114.2,2,6,1
-11.9666666667,120.1833333333,3,6,1
-11.6166666667,119.7833333333,3,1,0
-12.55,119.05,2,5,1
-12.4333333333,119.05,2,5,1
-11.9666666667,119.4333333333,14,26,0
-11.5166666667,118.1833333333,0,13,0
-11.4166666667,118,1,2,0
-12.3333333333,117.7833333333,1,10,0
-12.2333333333,117.4166666667,0,3,0
-12.4666666667,117.7166666667,0,13,0
-12.2666666667,116.2666666667,1,6,0
-12.9166666667,117.0833333333,0,2,0
-13.2333333333,116.9,0,8,1
-13.2833333333,116.6666666667,0,7,0
-13.5,116.8666666667,0,1,1
-12.85,117.4333333333,2,2,0
-12.5666666667,117,1,0,0
-11.65,120.3666666667,4,7,0
-11.6166666667,119.55,6,12,0
-11.8833333333,119.8166666667,6,16,0
-11.8,119.8333333333,5,8,0
-11.7666666667,118.9333333333,5,6,0
-12.4666666667,117.8666666667,1,9,0
-12.4833333333,117.7166666667,0,15,0
-11.9,116.9166666667,2,7,0
-12.0333333333,117.55,2,7,0
-12.2,117.6,1,0,0
-12.5666666667,113.7333333333,2,2,0
-12.15,113.1333333333,2,2,0
-11.75,113.25,2,14,0
-11.4833333333,120.4,4,2,0
-11.3166666667,119.0833333333,2,2,0
-12.2333333333,119.1166666667,3,6,0
-12.3,119.3833333333,1,13,1
-12.3,119.1,3,6,0
-12.6833333333,117.6333333333,0,11,0
-12.95,117.7,0,6,0
-12.1833333333,118.0666666667,2,5,0
-12.7666666667,117.5333333333,2,5,0
-12.85,116.85,1,2,0
-13.5333333333,117.3,1,6,0
-14,117.45,2,6,0
-13.8,117.2833333333,4,5,0
-13.0333333333,116.15,1,9,0
-13.1833333333,116.5333333333,5,6,0
-12.7,119.1666666667,0,4,0
-12.1,118.4,2,0,0
-11.4333333333,119.3333333333,2,4,0
-13.9333333333,118.5166666667,2,5,0
-13,117.8,0,4,0
-14.1666666667,117.4,1,13,0
-14.1666666667,117.4333333333,0,5,0
-12.6833333333,117.15,2,5,0
-12.45,116.75,1,3,0
-11.9333333333,117.65,4,4,0
-12.1333333333,117.7833333333,2,2,0
-11.1333333333,118.1166666667,4,5,0
-11.1333333333,118.6666666667,4,1,0
-11.1333333333,119.5,1,1,0
-12,120.5166666667,7,0,0
-12.1666666667,119.1666666667,0,1,0
-12.2666666667,118.1333333333,1,4,0
-12.3333333333,118,2,13,0
-12.6166666667,117.9333333333,1,9,0
-12.4833333333,117.9333333333,0,2,0
-13,114.0833333333,0,0,0
-12.9166666667,113,1,0,0
-13.8333333333,114.0333333333,1,8,0
-13.8333333333,114.1166666667,1,1,0
-12.5333333333,118.55,3,1,0
-12.6166666667,118.6166666667,1,3,1
-13.15,118.15,1,4,2
-13.15,118.1,3,7,0
-11.8333333333,118.1,3,7,0
-12.5,119,0,5,2
-11.6833333333,118.6666666667,1,4,0
-12.7,117.85,2,12,0
-12.75,117.75,2,17,0
-13.9166666667,116.65,1,9,0
-13.1166666667,116.4166666667,0,13,4
-13.6666666667,116.7833333333,0,13,3
-14.0833333333,116.5333333333,1,5,0
-13.7,117.1833333333,0,0,0
-12.75,117.4166666667,2,3,0
-12.2166666667,117.55,2,3,0
-12.3,117.5666666667,4,5,1
-11.4833333333,117.0666666667,0,7,0
-11.5,117.0833333333,0,5,0
-11.8333333333,117.2166666667,0,1,0
-11.65,116.7333333333,1,6,0
-11.65,116.7833333333,3,1,0
-12.05,117.7833333333,0,14,0
-12.3666666667,117.9666666667,0,6,0
-12.7333333333,117.9333333333,0,0,0
-11.95,117.8833333333,1,0,0
-12.1666666667,114.1166666667,0,3,0
-12.6666666667,113.0166666667,2,2,1
-12.8833333333,111.5833333333,5,4,0
-14.2333333333,114.7166666667,2,2,6
-14.15,113.9333333333,0,2,0
-14.25,113.3333333333,1,4,3
-14.4166666667,113.1333333333,1,0,0
-11.5833333333,116.2333333333,1,10,2
-11.4833333333,116.2,0,0,0
-12.4333333333,117.2,2,2,1
-11.5833333333,115.9166666667,0,5,0
-12.3166666667,114.9,0,1,0
-13.75,112.8,3,10,27
-13.7666666667,112.7666666667,1,7,7
-14.3666666667,112.15,4,12,13
-13.5166666667,112.3,3,4,6
-12.95,112.3,4,17,9
-13.1333333333,111.3166666667,0,6,13
-11.1833333333,112.5166666667,2,3,4
-11.25,113.3333333333,1,14,0
-11.25,113.5166666667,6,4,1
-11.7666666667,113.6833333333,1,4,1
-11.4833333333,113.5166666667,0,5,8
-11.3,114,2,9,3
-11.4333333333,114.6333333333,1,0,0
-12.9333333333,115.4333333333,1,9,1
-13.05,115.2666666667,0,1,1
-12.8166666667,115.4833333333,1,5,1
-12.3666666667,116.3833333333,3,0,0
-11.45,116.6,1,4,0
-14.4333333333,115.8333333333,1,12,3
-14.3166666667,116.2833333333,2,7,0
-14.2666666667,116.05,0,0,0
-14.0666666667,115.3,3,5,2
-14.2,114.9666666667,1,2,8
-13.7833333333,115.05,0,6,3
-10.8333333333,123.6666666667,5,4,0
-10.7333333333,123.7833333333,6,2,0
-10.6833333333,123.7166666667,14,2,0
-10.6666666667,124.6666666667,10,2,0
-11,123.25,9,1,0
-11,123.4666666667,15,0,0
-13.45,114.2333333333,0,0,0
-14.4166666667,113.6666666667,2,2,11
-14.6166666667,113.7833333333,0,1,7
-13.9333333333,112.6333333333,0,4,4
-13.0166666667,113.5333333333,1,4,3
-13.9166666667,114.4666666667,1,6,6
-13.7833333333,113.1666666667,1,2,5
-14.3666666667,113.0333333333,0,1,1
-14.5,112.6,3,3,2
-14.35,113.2333333333,1,0,0
-13.5333333333,111.95,2,1,5
-12.3833333333,112.1,0,3,0
-12.15,112.9,1,0,0
-11.0333333333,112.2833333333,2,2,2
-11.55,112.3333333333,1,5,0
-11.6166666667,112.6833333333,2,0,3
-11.0333333333,118.7,4,4,11
-11.15,118.25,2,9,3
-11.6666666667,118.8166666667,2,2,7
-12.0333333333,120.8,4,0,23
-11.1666666667,120.4166666667,1,3,9
-10.15,125.2,3,3,0
-10.0333333333,124.95,2,1,0
-13.8666666667,116.1,2,11,1
-13.7666666667,116.1,0,12,0
-13.65,117.1,1,2,0
-14.2333333333,116.2333333333,0,12,1
-14.25,116.0833333333,2,15,0
-14.2333333333,115.8666666667,1,8,1
-14.6833333333,116.1833333333,2,8,11
-13.5833333333,118.3833333333,1,10,15
-13.4666666667,118.5833333333,1,10,10
-14.4666666667,115.5,2,9,5
-14.1,115.1666666667,1,7,0
-11.6333333333,118.2333333333,0,6,0
-12.1333333333,117.6666666667,0,5,0
-13,113.6166666667,0,9,1
-12.5,113.1,1,6,0
-11.45,113.1666666667,1,1,0
