Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-13.1,113.5666666667,0,3,0
-13.2166666667,114.1,0,17,2
-13.2833333333,114.4666666667,3,15,2
-13.2666666667,114.3833333333,0,8,4
-12.9833333333,114.5166666667,2,2,3
-13.4833333333,114.5666666667,4,2,2
-11.8,114.6833333333,4,2,2
-11.9833333333,119,4,0,0
-12.9,115.5,14,2,0
-13.2666666667,116.2666666667,4,0,0
-12.95,116.75,25,2,19
-12.8833333333,116.9166666667,22,0,13
-12.8333333333,117.8333333333,9,0,4
-14.2833333333,114.2666666667,6,0,6
-14.3333333333,114.5833333333,19,6,7
-13.75,117.3333333333,20,3,5
-13.6333333333,117.9833333333,6,10,0
-13.7666666667,118.5333333333,2,8,0
-13.4833333333,119.1666666667,7,8,0
-13.5,119.0333333333,2,7,0
-13.8,114.65,4,14,4
-14.7333333333,114.5333333333,0,0,6
-13.4,114.4166666667,0,0,2
-12.9666666667,116.5166666667,0,0,2
-12.3666666667,116.6666666667,4,7,8
-12.5833333333,116.75,2,4,2
-11.45,117.1166666667,4,0,0
-11.7,115.8666666667,3,3,2
-12.2,115.5333333333,0,8,0
-12.1833333333,115.2333333333,3,7,3
-12.4666666667,115.9666666667,0,3,4
-12.8333333333,116.8333333333,5,3,0
-12.0666666667,117.15,3,0,5
-12.7833333333,117.3,0,6,0
-13.0833333333,117.8166666667,0,15,3
-13.3166666667,117.7166666667,2,18,2
-13.45,118.1666666667,8,8,0
-13.2833333333,118.0166666667,2,4,0
-13.25,117.0833333333,10,4,15
-13.0333333333,117,8,12,11
-13.25,117.1,4,8,9
-12.9166666667,117,7,7,10
-13.1,117.1,5,5,13
-13.35,117,0,5,5
-12.6666666667,117.1333333333,3,9,32
-12.6,117.1,3,2,13
-12.9,117.0333333333,0,5,2
-13.2,116.7833333333,3,22,20
-11.9166666667,119.2833333333,4,0,0
-12,117.85,0,3,3
-12.6333333333,117.7166666667,0,6,3
-12.7,117.0833333333,3,12,30
-13,117.0333333333,7,15,3
-10.0833333333,126.4333333333,0,0,0
-10.0333333333,126.0166666667,2,0,0
-10.05,124.8,0,5,0
-10.45,124.1833333333,0,0,0
-10.5333333333,124.5,12,6,0
-10.8333333333,123.6833333333,0,9,0
-10.75,124.0166666667,2,3,0
-13.0333333333,120.1833333333,20,0,0
